song_id,spectrogram_id,valence,arousal
2,0,-0.07939529999999999,-0.12771653500000002
2,1,-0.09088479999999999,-0.148231333
2,2,-0.20880519,-0.150905719
2,3,-0.27426476,-0.23276105
2,4,-0.3110791,-0.26218623
2,5,-0.32863505,-0.26330368
3,0,-0.19337290000000001,-0.14312934000000002
3,1,-0.22354690000000002,-0.16482008
3,2,-0.27213440999999994,-0.16942219
3,3,-0.30275289999999994,-0.18727651
3,4,-0.31546955,-0.23621534
3,5,-0.28785245000000004,-0.25825810000000005
4,0,0.11627466,0.18238759999999998
4,1,0.12131708000000001,0.17073140000000003
4,2,0.11208468,0.22596881
4,3,0.18103194,0.27325665000000005
4,4,0.20489697,0.30432430000000005
4,5,0.19565241000000003,0.30176484000000003
5,0,0.14768547,-0.25208189999999997
5,1,0.1727835,-0.2417579
5,2,0.12489329999999998,-0.234763
5,3,0.13036619999999996,-0.22626500000000002
5,4,0.1315034,-0.23302554999999997
5,5,0.13372559999999997,-0.22934693
7,0,0.3340807500000001,0.46551549000000003
7,1,0.33879990000000004,0.42306901
7,2,0.3432244,0.36743852
7,3,0.32801874,0.33571879199999993
7,4,0.33174443,0.32943098000000004
7,5,0.31885970900000005,0.33657931199999996
8,0,0.007524035000000004,-0.13787918
8,1,-0.020724079999999995,-0.1378445
8,2,-0.00791028,-0.12371099999999999
8,3,-0.00966112,-0.10812429999999999
8,4,0.009281133,-0.12890990000000002
8,5,0.008867011999999999,-0.1525691
10,0,0.09577522,-0.14526283
10,1,0.10322914499999998,-0.1725564
10,2,0.08124146,-0.1715346
10,3,-0.00959544,-0.1780517
10,4,-0.008184460000000001,-0.1818207
10,5,-0.00421787,-0.17887820000000004
12,0,0.3307583,0.23302119999999996
12,1,0.338962,0.25757626
12,2,0.3450109,0.28339518
12,3,0.334458201,0.30307461
12,4,0.35074621,0.3219966
12,5,0.3504617,0.31660240999999995
13,0,-0.19642859,-0.3473135
13,1,-0.22625389999999998,-0.32405868
13,2,-0.24425925000000004,-0.32988147700000003
13,3,-0.23623513,-0.310690134
13,4,-0.22678910000000002,-0.31913539999999996
13,5,-0.23359800000000003,-0.3427437
17,0,0.14639198000000003,0.00851646
17,1,0.16800814200000003,-0.00630623
17,2,0.16488448499999997,0.043808
17,3,0.17654836,0.083266055
17,4,0.18132825999999996,0.0386073
17,5,0.18651567,0.0198019
18,0,0.06184691,-0.16930279999999998
18,1,0.03655889999999999,-0.1722832
18,2,-0.010939939999999999,-0.17428859000000002
18,3,-0.06880031,-0.13944435500000002
18,4,-0.095673465,-0.12313121999999999
18,5,-0.156708994,-0.12294999000000002
19,0,0.06156391000000001,0.29297062
19,1,0.036876559999999996,0.28460647
19,2,0.0073221699999999985,0.28807854
19,3,-0.039013846000000005,0.27404244
19,4,-0.042887190000000006,0.26548766300000004
19,5,-0.07170808,0.27999841000000003
20,0,0.32315,0.04566823999999999
20,1,0.3469659,0.04754807000000001
20,2,0.3357289,0.03891795
20,3,0.3273365898000001,0.033212740000000004
20,4,0.34667159000000003,0.038334929999999996
20,5,0.34636988999999996,0.050517316000000013
21,0,0.33072188,0.38257414000000006
21,1,0.33683186,0.38341373
21,2,0.32629459999999993,0.39515427
21,3,0.32384788,0.40554853
21,4,0.330179,0.40327419999999997
21,5,0.33888240000000003,0.38438356
22,0,0.0199727,-0.15034306
22,1,0.01237183,-0.16532746999999998
22,2,0.014387020000000004,-0.159175842
22,3,0.018357649999999996,-0.15824285499999996
22,4,0.0140186,-0.17935701999999998
22,5,0.011560069999999999,-0.1607359422
24,0,0.0014112700000000003,0.08343998999999999
24,1,-0.03144097999999999,0.09458230000000001
24,2,-0.0472925,0.09385485
24,3,-0.04744475999999999,0.08036441999999999
24,4,-0.063832035,0.14690911999999998
24,5,-0.19712646000000003,0.20412087999999998
25,0,-0.30876642000000004,0.54202664
25,1,-0.29141312,0.5760128
25,2,-0.2188693,0.5293080299999999
25,3,-0.17609462,0.50683134
25,4,-0.17487201,0.531096
25,5,-0.17557176,0.5535921
31,0,-0.16661273000000001,0.05229426499999999
31,1,-0.18258594,0.083315998
31,2,-0.19159212,0.09611156
31,3,-0.186670826,0.08847779
31,4,-0.17499268,0.06985431
31,5,-0.18061381,0.061163247
32,0,-0.13245829,-0.011535148
32,1,-0.11883831,-0.03050526
32,2,-0.15615127,-0.05076451249999999
32,3,-0.190214352,-0.037929146000000004
32,4,-0.20610776,-0.005274437999999999
32,5,-0.22129299900000002,-0.021005040000000003
35,0,0.33555532,0.022628600000000002
35,1,0.35247,0.03188767
35,2,0.381478,0.027396790000000004
35,3,0.40088712,0.009326599999999999
35,4,0.4047325,-0.01246028
35,5,0.42049250000000005,-0.06064449999999999
37,0,0.24636571999999995,0.3474756600000001
37,1,0.2952951,0.35878420000000005
37,2,0.23738263,0.3630319999999999
37,3,0.24003006999999998,0.34050868
37,4,0.281393365,0.36555283000000005
37,5,0.285910874,0.4304614
39,0,0.1523303,0.5555954
39,1,0.1525316,0.5636399
39,2,0.16558443,0.5807469
39,3,0.2091768,0.5866933000000001
39,4,0.13641635700000002,0.6159926
39,5,0.1489842,0.6314686999999999
40,0,3.0500000000000318e-05,-0.31555279999999997
40,1,0.015378599999999997,-0.3106066781
40,2,0.0656033083,-0.25546996
40,3,0.1228532,-0.22887686000000002
40,4,0.131132861,-0.143863004
40,5,0.10206349999999997,-0.1033124
41,0,-0.041961620000000005,-0.14613464
41,1,-0.0471054,-0.13953929199999998
41,2,-0.086439512,-0.17108777000000003
41,3,-0.08518332999999999,-0.18805080000000002
41,4,-0.12196694000000001,-0.19849080000000002
41,5,-0.12414328999999999,-0.1962652
42,0,0.0474571,0.30216862599999994
42,1,0.0005466399999999974,0.30480929999999995
42,2,-0.0026441999999999998,0.3082212
42,3,-0.00392132,0.30472346
42,4,-0.00332354,0.30783611
